review_id,source,rating,posted_at,reviewer_name,text
R001,Google,5,2026-04-30 20:33:28,Noor F.,Perfect spot to work from. Wifi solid.
R002,Google,5,2026-05-01 13:08:55,Laiba T.,Flat white + their cheesecake = my happy place. Staff lovely too.
R003,Google,2,2026-05-03 10:11:00,Shayan M.,Lovely coffee but came in Saturday around 9pm and waited nearly 30 minutes just to order. Staff clearly overwhelmed.
R004,Google,5,2026-05-03 20:38:44,Shayan M.,Cappuccino was perfect and the ambiance is gorgeous. 10/10.
R005,Google,5,2026-05-04 05:34:29,Junaid P.,The espresso here is unreal. Came for a quick cup and stayed an hour.
R006,Google,3,2026-05-07 12:04:59,Hammad R.,"Lovely spot and great coffee, but Rs 700 for a single coffee is getting steep."
R007,Foodpanda,1,2026-05-10 10:29:00,Laiba T.,Saturday night was chaos — sat down at 9ish and our drinks took forever. Food was great when it finally arrived.
R008,Foodpanda,3,2026-05-10 22:09:55,Maryam A.,Tastes good but honestly overpriced for what it is.
R009,Foodpanda,2,2026-05-11 15:37:00,Aiman K.,Not what I expected.
R010,Google,4,2026-05-11 18:49:17,Komal R.,Lovely afternoon here with friends.
R011,Instagram,5,2026-05-12 12:15:00,Rabia Z.,Cute place 💕
R012,Google,4,2026-05-14 09:39:45,Areeba S.,"Cozy and aesthetic, loved it."
R013,Google,2,2026-05-15 06:47:32,Fatima K.,The barista — think his name was Bilal — was short with us and rang up the wrong order. Coffee itself was fine.
R014,Instagram,2,2026-05-16 11:47:32,Mehak D.,Service from the guy at the counter (Bilal?) was rushed and a bit rude on a weekday evening.
R015,Google,2,2026-05-17 10:11:00,Rabia Z.,"Came on the weekend, Saturday evening, and the wait was painful. They need more staff at peak."
R016,Instagram,5,2026-05-19 06:28:04,Ali R.,"Great ambiance, will definitely be back."
R017,Instagram,5,2026-05-19 06:59:31,Bilal A.,"Good vibes, decent prices, tasty food."
R018,Foodpanda,5,2026-05-19 13:31:37,Ayesha S.,My go-to weekend brunch place.
R019,Foodpanda,5,2026-05-22 15:30:10,Fatima K.,Solid breakfast menu.
R020,Google,1,2026-05-22 16:27:00,Hira J.,Disappointing.
R021,Google,4,2026-05-23 20:15:00,Zara N.,Nice.
R022,Instagram,2,2026-05-24 10:06:00,Saad H.,Great desserts but a Saturday night here means waiting and waiting. Almost left before ordering.
R023,Google,4,2026-05-24 13:38:43,Hassan M.,"Beautiful interior, attentive staff."
R024,Foodpanda,5,2026-05-26 09:08:48,Sana W.,Friendly staff and good coffee.
R025,Instagram,5,2026-05-27 03:11:16,Aiman K.,Desserts are amazing here.
R026,Google,5,2026-05-27 04:36:19,Daniyal S.,"Best flat white in Islamabad, hands down. A weekly ritual now."
R027,Google,5,2026-05-30 23:45:32,Hamza L.,"Coffee was good, service quick on a weekday."
R028,Google,5,2026-05-31 08:47:23,Rabia Z.,Hands down my favourite coffee spot in Islamabad. The espresso is elite.
R029,Google,2,2026-05-31 10:07:00,Hammad R.,"Visited Sat ~8:45pm, place was packed and badly understaffed. 25 min for two coffees."
R030,Google,5,2026-06-01 06:14:19,Zara N.,Obsessed with their cold brew. Easily the best coffee in F-7.
R031,Instagram,4,2026-06-01 13:14:01,Mehak D.,Always consistent. Recommend the pastries.
